code,n,k,d,rate,p,p_meas,p_gate,p_data,rounds,shots,errors,p_L
"AG(6,2) [[64,20,8]]",64,20,8,0.3125,0.001,0.0,0.001,0.001,5,2000,1,0.0005
"AG(6,2) [[64,20,8]]",64,20,8,0.3125,0.001,0.001,0.001,0.001,5,2000,1,0.0005
"AG(6,2) [[64,20,8]]",64,20,8,0.3125,0.003,0.0,0.003,0.003,5,2000,5,0.0025
"AG(6,2) [[64,20,8]]",64,20,8,0.3125,0.003,0.003,0.003,0.003,5,2000,11,0.0055
"AG(6,2) [[64,20,8]]",64,20,8,0.3125,0.01,0.0,0.01,0.01,5,2000,42,0.021
"AG(6,2) [[64,20,8]]",64,20,8,0.3125,0.01,0.01,0.01,0.01,5,2000,111,0.0555
"AG(4,1) [[16,6,4]]",16,6,4,0.375,0.001,0.0,0.001,0.001,5,2000,0,0.0
"AG(4,1) [[16,6,4]]",16,6,4,0.375,0.001,0.001,0.001,0.001,5,2000,0,0.0
"AG(4,1) [[16,6,4]]",16,6,4,0.375,0.003,0.0,0.003,0.003,5,2000,1,0.0005
"AG(4,1) [[16,6,4]]",16,6,4,0.375,0.003,0.003,0.003,0.003,5,2000,3,0.0015
"AG(4,1) [[16,6,4]]",16,6,4,0.375,0.01,0.0,0.01,0.01,5,2000,26,0.013
"AG(4,1) [[16,6,4]]",16,6,4,0.375,0.01,0.01,0.01,0.01,5,2000,42,0.021
"surface d=3 [[17,1,3]]",17,1,3,0.0588,0.001,0.0,0.001,0.001,5,2000,4,0.002
"surface d=3 [[17,1,3]]",17,1,3,0.0588,0.001,0.001,0.001,0.001,5,2000,2,0.001
"surface d=3 [[17,1,3]]",17,1,3,0.0588,0.003,0.0,0.003,0.003,5,2000,9,0.0045
"surface d=3 [[17,1,3]]",17,1,3,0.0588,0.003,0.003,0.003,0.003,5,2000,13,0.0065
"surface d=3 [[17,1,3]]",17,1,3,0.0588,0.01,0.0,0.01,0.01,5,2000,38,0.019
"surface d=3 [[17,1,3]]",17,1,3,0.0588,0.01,0.01,0.01,0.01,5,2000,33,0.0165
"surface d=5 [[41,1,5]]",41,1,5,0.0244,0.001,0.0,0.001,0.001,5,2000,1,0.0005
"surface d=5 [[41,1,5]]",41,1,5,0.0244,0.001,0.001,0.001,0.001,5,2000,0,0.0
"surface d=5 [[41,1,5]]",41,1,5,0.0244,0.003,0.0,0.003,0.003,5,2000,1,0.0005
"surface d=5 [[41,1,5]]",41,1,5,0.0244,0.003,0.003,0.003,0.003,5,2000,0,0.0
"surface d=5 [[41,1,5]]",41,1,5,0.0244,0.01,0.0,0.01,0.01,5,2000,2,0.001
"surface d=5 [[41,1,5]]",41,1,5,0.0244,0.01,0.01,0.01,0.01,5,2000,3,0.0015
"surface d=7 [[97,1,7]]",97,1,7,0.0103,0.001,0.0,0.001,0.001,5,2000,0,0.0
"surface d=7 [[97,1,7]]",97,1,7,0.0103,0.001,0.001,0.001,0.001,5,2000,0,0.0
"surface d=7 [[97,1,7]]",97,1,7,0.0103,0.003,0.0,0.003,0.003,5,2000,0,0.0
"surface d=7 [[97,1,7]]",97,1,7,0.0103,0.003,0.003,0.003,0.003,5,2000,0,0.0
"surface d=7 [[97,1,7]]",97,1,7,0.0103,0.01,0.0,0.01,0.01,5,2000,0,0.0
"surface d=7 [[97,1,7]]",97,1,7,0.0103,0.01,0.01,0.01,0.01,5,2000,1,0.0005
